Country,Consumer Price Index
Switzerland,126.03
Norway,118.59
Venezuela,111.01
Iceland,102.14
Denmark,100.6
Australia,99.32
New Zealand,93.71
Singapore,93.61
Kuwait,92.97
United Kingdom,92.19
Ireland,92.09
Luxembourg,91.78
Finland,89.68
France,88.37
Belgium,87.22
Netherlands,85.98
Sweden,82.91
South Korea,82.9
Italy,82.72
Canada,81.8
Japan,80.36
Israel,79.29
Austria,76.87
United States,76.53
Germany,76.27
Hong Kong,75.23
Qatar,74
Puerto Rico,73.5
Cyprus,72.52
Ghana,71.83
Greece,68.88
Malta,68.81
Belize,68.74
Uruguay,68.55
Lebanon,67.61
United Arab Emirates,67.16
Argentina,67.12
Zimbabwe,65.89
Spain,65.7
Slovenia,65.15
Jamaica,63.56
Costa Rica,62.53
Russia,61.91
Jordan,61.38
Estonia,61.2
Mauritius,60.1
Mozambique,59.92
Nigeria,59.4
Azerbaijan,59.13
Trinidad And Tobago,59.08
Croatia,58.92
Portugal,58.22
Tanzania,57.13
Taiwan,57.06
Cambodia,57.05
Bahrain,56.17
Dominican Republic,55.95
Latvia,55.94
Uzbekistan,55.92
Brazil,55.33
Panama,55.16
Kazakhstan,54.27
Oman,54.2
Uganda,53.9
Namibia,53.67
Palestinian Territory,53.27
Chile,53.21
Honduras,53.06
Myanmar,53.04
Lithuania,52.76
Libya,52.12
Slovakia,51.6
Ethiopia,51.47
El Salvador,50.64
Guatemala,50.42
Saudi Arabia,50.35
Belarus,50.2
Kenya,50.01
Turkey,49.55
Peru,49.43
Hungary,48.9
China,48.89
Czech Republic,48.5
Iraq,48.21
Montenegro,48.09
Nicaragua,47.85
Thailand,46.52
Malaysia,45.97
South Africa,45.58
Ecuador,45.57
Poland,45.11
Iran,44.53
Bulgaria,43.57
Serbia,43.29
Romania,42.39
Bosnia And Herzegovina,42.3
Albania,41.95
Vietnam,41.86
Sri Lanka,41.66
Ukraine,41.29
Mexico,41.26
Armenia,40.68
Kosovo (Disputed Territory),40.17
Bolivia,40.02
Philippines,40
Morocco,39.78
Georgia,39.56
Indonesia,39.35
Bangladesh,39.22
Colombia,38.92
Syria,38.24
Macedonia,37.41
Egypt,37.22
Moldova,34.72
Algeria,34.1
Tunisia,34.06
Pakistan,30.71
Nepal,28.85
India,26.27
