Rank,Hospital,Country
689,Bermuda Hospitals Board,Bermuda
26,Alberta Health Services,Canada
98,Hospital for Sick Children,Canada
109,SantÌ© MontÌ©rÌ©gie,Canada
113,Centre for Addiction & Mental Health,Canada
133,Vancouver Coastal Health,Canada
144,London Health Sciences Centre,Canada
177,University Health Network,Canada
179,Fraser Health,Canada
180,Vancouver Island Health Authority,Canada
195,Winnipeg Regional Health Authority,Canada
236,Alberta Health & Wellness,Canada
243,Montreal Neurological Institute and Hospital,Canada
260,Mount Sinai Hospital Toronto,Canada
282,St Michael's Hospital,Canada
288,Mcgill University Health Centre,Canada
301,Perth and Smiths Falls District Hospital,Canada
306,Capital Health Nova Scotia Canada,Canada
336,(1)  Hamilton Health Sciences,Canada
358,Ontario Community Care Access Centres,Canada
377,Jewish General Hospital Hopital General Juif,Canada
427,Northern Health,Canada
488,Centre Hospitalier de l'Universite de Montreal,Canada
489,BC Children's Hospital,Canada
495,Kidney Foundation of Canada Northern Alberta,Canada
549,Children's Hospital of Eastern Ontario/Centre Hospitalier Pour Enfants de L'Est de L'Ontario,Canada
558,Ottawa Hospital,Canada
566,Institut universitaire en SantÌ© Mentale de MontrÌ©al (hopital Louis H Lafontaine),Canada
580,Saskatoon Health Region,Canada
582,Centre Hospitalier Universitaire de Quebec,Canada
584,CancerCare Manitoba,Canada
630,Institut de Recherches Cliniques de Montreal,Canada
639,Centre Hospitalier Affilie Universitaire de Quebec,Canada
675,Baycrest,Canada
676,St Joseph's Health Care London,Canada
722,Institut de Cardiologie de l'Universite d'Ottawa,Canada
728,Centre Universitaire de SantÌ© Mcgill Mcgill University Health Centre,Canada
736,Sunrise Health Region,Canada
763,Centre Hospitalier Universitaire de Sherbrooke,Canada
807,Bc's Children's Hospital Foundation,Canada
810,Women's College Hospital,Canada
839,Providence Health Care Vancouver,Canada
877,British Columbia Lung Association,Canada
920,Regina Qu'Appelle Health Region,Canada
997,Iwk Health Centre,Canada
1002,Yukon Health & Social Services,Canada
1025,St Joseph's Health Centre Toronto,Canada
1124,BC Women's Hospital & Health Centre,Canada
1199,North York General Hospital,Canada
1216,L'Hopital de Montreal Pour Enfants du Cusm,Canada
1235,Holland Bloorview Kids Rehabilitation Hospital,Canada
1292,Royal Victoria Hospital,Canada
1315,Centre de Recherche de l'Institut de Cardiologie de Montreal,Canada
1315,Providence Healthcare Toronto,Canada
1323,Prairie Women's Health Centre,Canada
1329,(1)  Thunder Bay Regional Health Sciences Centre,Canada
1350,Hopital Regional de Sudbury,Canada
1376,Centre de SantÌ© et de Services Sociaux de Laval,Canada
1384,CancerCare Nova Scotia,Canada
1430,Vancouver Foundation,Canada
1438,Centre de SantÌ© et de Services Sociaux de Gatineau,Canada
1459,St Joseph's Healthcare Hamilton,Canada
1490,RÌ©seau de santÌ© Horizon Health Network,Canada
1517,Ontario Shores Centre for Mental Health Sciences,Canada
1548,Royal Ottawa Health Care Group,Canada
1568,Elgin St Thomas Health Unit,Canada
1575,St Mary's Hospital Center Montreal,Canada
1623,Kingston General Hospital,Canada
1632,Trillium Health Centre,Canada
1697,Hopital Maisonneuve Rosemont,Canada
1703,Western Health,Canada
1717,Lakeridge Health Network,Canada
1718,Lasik MD Laser Eye Surgery and Vision Correction,Canada
1742,Cambridge Memorial Hospital,Canada
1786,Peterborough Regional Health Centre,Canada
1792,Institut universitaire de cardiologie et de pneumologie de QuÌ©bec,Canada
1812,BC Centre of Excellence for Women's Health,Canada
1865,Simcoe Muskoka District Health Unit,Canada
1877,Vancouver Coastal Health Research Institute,Canada
1914,Scarborough Hospital,Canada
1930,Windsor Regional Hospital,Canada
1965,Montfort Hospital,Canada
1975,Centre de recherche du CHU de QuÌ©bec,Canada
2005,Children's & Women's Health Centre,Canada
2142,Mcmaster Children's Hospital,Canada
2147,Care Point Medical Centres,Canada
2233,Extendicare,Canada
2283,Centre Hospitalier Robert-Giffard Institut Universitaire en SantÌ© Mentale,Canada
2293,Credit Valley Hospital,Canada
2318,Niagara Health System,Canada
2345,Hopital du Sacre Coeur de Montreal,Canada
2350,Centre de SantÌ© et de Services Sociaux du Sud de LanaudiÌ¬re,Canada
2444,Eden Health Care Services,Canada
2463,Morris Hospital & Healthcare Centers,Canada
2493,Guysborough Antigonish Strait Health Authority,Canada
2608,Princess Margaret Cancer Foundation,Canada
2650,Markham Stouffville Hospital,Canada
2673,Hopital Riviere des Prairies,Canada
2816,Toronto East General Hospital,Canada
2857,Northumberland Hills Hospital,Canada
2862,Annapolis Valley Health,Canada
2874,Institut Philippe Pinel Hopital en Psychiatrie,Canada
2884,Centre Hopitalier Universitaire Sainte Justine,Canada
2960,Halton Healthcare Services,Canada
2995,(1)  Juravinski Cancer Centre,Canada
3001,Grand River Hospital,Canada
3006,St Joseph's Care Group,Canada
3111,Lamp Community Health Centre,Canada
3153,Brandon Regional Health Authority,Canada
3184,St Mary's General Hospital,Canada
3184,Alberta Children's Hospital Foundation,Canada
3194,Southern Health-SantÌ© Sud,Canada
3203,Queensway Carleton Hospital,Canada
3219,Winnipeg Health Sciences Centre,Canada
3355,Quinte Health Care,Canada
3497,Somerset West Community Health Centre,Canada
3530,Interlake Eastern Regional Health Authority,Canada
3561,Kgh Regional Cancer Centre,Canada
3589,Doctors Nova Scotia,Canada
3670,Weight Loss Surgery,Canada
3707,Hotel Dieu Grace Hospital,Canada
3739,Hotel Dieu Hospital,Canada
3760,Brant Community Healthcare System,Canada
3767,Dartmouth General Hospital Charitable Foundation,Canada
3772,Norfolk General Hospital,Canada
3824,Joseph Brant Memorial Hospital,Canada
3838,South West Health,Canada
3866,Children's Hospital Foundation of Manitoba,Canada
3968,Chatham Kent Health Alliance,Canada
3996,Rouge Valley Health System,Canada
4019,Eastern Health St John's,Canada
4069,North Bay Regional Health Centre,Canada
4190,Grey Bruce Health Services,Canada
4207,Central Health Corporation,Canada
4254,Dr Peter Centre Aids Foundation,Canada
4254,Clinique de Fertilite Ovo,Canada
4264,Brockville General Hospital,Canada
4264,Shouldice Hospital,Canada
4296,West Park Healthcare Centre,Canada
4314,Southlake Regional Health Centre,Canada
4349,St Joseph's Dundas,Canada
4375,Colchester East Hants Health Authority,Canada
4447,Centre de SantÌ© et des Services Sociaux du Lac des Deux Montagnes,Canada
4481,BC Women's Hospital & Health Centre Foundation,Canada
4507,Guelph General Hospital,Canada
4518,Renfrew Victoria Hospital,Canada
4525,Parkland Regional Health Authority,Canada
4525,Vancouver Native Health Society,Canada
4544,Cornwall Community Hospital/Hopital Communautaire de Cornwall,Canada
4556,Cape Breton District Health Authority,Canada
4563,Muskoka Algonquin Healthcare,Canada
4616,Petawawa Centennial Family Health Centre,Canada
4668,Hotel Dieu de Levis,Canada
4689,Women's Health Clinic Unit A Winnipeg Manitoba,Canada
4703,Providence Continuing Care Centre,Canada
4758,Wellness House,Canada
4813,Centretown Community Health Centre,Canada
4821,Headwaters Health Care Centre,Canada
4879,Timmins & District Hospital,Canada
4963,University Hospital Foundation,Canada
4965,Sioux Lookout Meno Ya Win Health Centre,Canada
4996,Sault Area Hospital,Canada
5084,Sherbourne Health Centre,Canada
5114,University of Toronto Hospital Department of Obstetrics and Gynecology,Canada
5189,Foundation Royal Victoria Hospital,Canada
5213,St Boniface Hospital,Canada
5226,Centre de SantÌ© du Pontiac,Canada
5244,Seven Oaks General Hospital,Canada
5330,Woodstock General Hospital,Canada
5339,Klinic Community Health Centre,Canada
5346,Victoria General Hospital,Canada
5372,Centre de santÌ© et de Services Sociaux Drummond,Canada
5397,Pembroke Regional Hospital,Canada
5434,William Osler Health Centre,Canada
5459,(1)  Hopital General de Hawkesbury & District General Hospital Inc.,Canada
5471,Alexandra Marine & General Hospital,Canada
5475,Misericordia Health Centre,Canada
5491,Lions Gate Hospital Foundation,Canada
5527,Centre de SantÌ© et de Services Sociaux de la Region de Thetford,Canada
5584,Middlesex Hospital Alliance,Canada
5653,Hanover and District Hospital,Canada
5659,Centre de SantÌ© et de Services Sociaux de Rimouski Neigette,Canada
5735,South Bruce Grey Health Centre,Canada
5735,(1)  Almonte General Hospital Fairview Manor,Canada
5767,Alexandra Hospital Ontario,Canada
5782,Carleton Place & District Memorial Hospital,Canada
5785,False Creek Healthcare Centre Vancouver,Canada
5836,Children's Hospital Foundation of Saskatchewan,Canada
5852,Centre de SantÌ© et de Services Sociaux de Rouyn Noranda,Canada
5891,Huron Perth Healthcare Alliance Hpha,Canada
5931,Libin Cardiovascular Institute of Alberta,Canada
5971,Flemingdon Health Centre,Canada
6073,Clinique MÌ©dicale l'Actuel,Canada
6139,Stonechurch Family Health Centre McMaster University,Canada
6171,Centre de SantÌ© et de Services Sociaux d'Antoine Labelle,Canada
6183,Campbellford Memorial Hospital,Canada
6302,Leamington District Memorial Hospital,Canada
6342,Kemptville District Hospital,Canada
6426,VitalitÌ©,Canada
6436,Soldiers' Memorial Hospital Orillia,Canada
6444,Centre de SantÌ© Communautaire Hamilton/Niagara,Canada
6465,Yellowknife Health and Social Services Authority,Canada
6508,Centre Hospitalier Baie des Chaleurs,Canada
6555,Stonegate Community Health Centre,Canada
6555,Winchester District Memorial Hospital,Canada
6568,West Nipissing General Hospital,Canada
6568,West Parry Sound Health Centre,Canada
6576,St Joseph's General Hospital Comox,Canada
6576,Ottawa Fertility Centre,Canada
6592,Nipigon District Memorial Hospital,Canada
6622,Centre de Recherche HÌ«pital Maisonneuve Rosemont,Canada
6622,Listowel & Wingham Hospitals Alliance,Canada
6649,Oshawa Community Health Centre,Canada
6654,Deep River and District Hospital,Canada
6684,St Francis Memorial Hospital,Canada
6769,Centre de SantÌ© et de Services Sociaux de la CÌ«te de GaspÌ©,Canada
6785,Yukon Community Profiles,Canada
6785,Cliniques Michel Pop,Canada
6861,Runnymede Healthcare Centre,Canada
6892,Mount Sinai Hospital Montreal,Canada
6910,Atikokan General Hospital,Canada
6983,Groves Memorial Community Hospital,Canada
7014,Ongwanada Hospital,Canada
7051,Hospitals of Regina Foundation,Canada
7095,Hopital Laval Institut Universitaire de Cardiologie et de Pneumologie,Canada
7130,Centre for Family Medicine Teaching and Research Centre,Canada
7190,Mic Group of Hospitals,Canada
7240,Tillsonburg District Memorial Hospital,Canada
7288,Ross Memorial Hospital Lindsay Ontario,Canada
7362,North Wellington Health Care,Canada
7368,St Joseph's Health Centre Guelph,Canada
7419,(1)  Arnprior & District Memorial Corporation,Canada
7505,Red Lake Margaret Cochenour Memorial Hospital,Canada
7505,Centre Hospitalier Regional de Trois Rivieres,Canada
7574,Concordia Hospital,Canada
7737,London Eye Centre,Canada
7851,Georgian Bay General Hospital,Canada
7864,VGH & UUBC Hospital Foundation,Canada
7925,North Hamilton Community Health Centre,Canada
7957,Toronto Grace Hospital,Canada
7974,St Joseph's Hospital Elliot Lake,Canada
8151,Group Health Centre,Canada
8234,Whitehorse General Hospital,Canada
8262,Englehart and District Hospital,Canada
8303,West Haldimand General Hospital,Canada
8380,Lake of Woods District Hospital,Canada
8487,Geraldton Medical Group,Canada
8523,Collingwood General and Marine Hospital,Canada
8570,Centre de Recherche Clinique Etienne le Bel du Centre Hospitalier Universitaire de Sherbrooke,Canada
8593,West Lincoln Memorial Hospital,Canada
8616,Black Creek Community Health Centre,Canada
8692,Kensington Health (Eye Institute),Canada
8790,Mccausland Hospital,Canada
8836,Wilson Memorial General Hospital,Canada
8902,Centre de Fertilite de Montreal,Canada
9008,Fondation Hopital General du Lakeshore Lakeshore General Hospital Foundation,Canada
9064,South Huron Hospital Association,Canada
9121,Gaspesie et Ì_les de La Madeleine,Canada
9151,Royal Alexandra Hospital Foundation (Lois Hole Hospital for Women),Canada
9174,Gimbel Eye Centre,Canada
9229,Riverview Health Center,Canada
9245,Centre Medical et Centre de la Femme Ville Marie,Canada
9304,Yaletown House,Canada
9322,Weeneebayko Health Ahtuskaywin/Weeneebayko General Hospital,Canada
9369,Burnaby Hospital Foundation,Canada
9389,Woolwich Community Health Centre,Canada
9400,Barrie Community Health Centre,Canada
9409,Caritas Health Group,Canada
9411,Haldimand War Memorial Hospital,Canada
9448,Canadian Red Cross Memorial Hospital Shrine,Canada
9494,Manitouwadge General Hospital,Canada
9494,Temiskaming Hospital,Canada
9531,Churchill Regional Health Authority,Canada
9554,Kirkland and District Hospital,Canada
9559,Salvation Army Grace Hospital,Canada
9580,Whitehorse Medical Services,Canada
9904,Stevenson Memorial Hospital,Canada
9909,Reach Community Health Centre,Canada
9920,Boyle Mccauley Health Centre,Canada
9971,Hopital Glengarry Memorial Hospital,Canada
9985,Ivey Eye Institute,Canada
10100,South Calgary Primary Care Network,Canada
10125,Peace Arch Hospital,Canada
10215,Blind River District Health Centre,Canada
10235,Hopital Notre Dame,Canada
10274,OSH Foundation (Grey Bruce Regional Health Centre),Canada
10308,Clinique Chirurgicale de Laval,Canada
10388,St Joseph's Health System of Hamilton,Canada
10396,Heartland Fertility & Gynecology Clinic,Canada
10431,Southwest Ontario Aboriginal Health Access Centre,Canada
10602,Clinique des Femmes de l'Outaouais,Canada
10630,Stanton Territorial Health Authority,Canada
10676,Kings Regional Rehabilitation Centre,Canada
10705,Eyetech Lasik Clinic,Canada
10862,West Carleton Family Health Team,Canada
10934,Cambie Surgery Centre,Canada
11177,Anishnawbe Mushkiki Thunder Bay Aboriginal Community Health Centre,Canada
11209,Procrea Cliniques,Canada
11328,Dryden Regional Health Centre,Canada
11411,Insight Optometry Group,Canada
11537,Rideau Community Health Services,Canada
11597,Mid Main Community Health Centre,Canada
11613,Lady Dunn Health Centre Centre de Sante Lady Dunn,Canada
11651,North Lanark County Community Health Centre,Canada
11699,Fondation de l'Hopital de Matane,Canada
11719,Downtown Toronto Optometrist University Eye Clinic,Canada
11869,Groupe Promedic,Canada
1,Cleveland Clinic,United States of America
2,St Jude Children's Research Hospital,United States of America
3,Johns Hopkins Medicine,United States of America
4,Mayo Clinic Scottsdale AZ,United States of America
5,University of Maryland Medical Center,United States of America
6,M D Anderson Cancer Center,United States of America
7,Massachusetts General Hospital,United States of America
9,Memorial Sloan Kettering Cancer Center,United States of America
10,New York Presbyterian / Lower Manhattan Hospital,United States of America
11,Providence Health & Services,United States of America
12,Deer's Head Hospital Center,United States of America
14,Beth Israel Deaconess Medical Center Needham,United States of America
15,Aurora Health Care,United States of America
17,Advocate Health Care,United States of America
18,University of Pittsburgh Medical Center,United States of America
19,Brigham and Women's Hospital,United States of America
20,(1)  Hartford Hospital,United States of America
27,Tricare Military Health System,United States of America
29,Children's Hospital of Philadelphia,United States of America
30,H Lee Moffitt Cancer Center & Research Institute,United States of America
31,Navy Medicine,United States of America
32,Children's Mercy Hospitals and Clinics,United States of America
36,Arizona State Hospital,United States of America
42,Kaiser Permanente CA,United States of America
44,University of North Carolina Healthcare,United States of America
45,University of Wisconsin Health,United States of America
47,Seattle Children's Hospital and Medical Center,United States of America
48,University of Chicago Hospitals,United States of America
51,Children's Hospital Boston,United States of America
52,Society of Cardiovascular and Interventional Radiology,United States of America
55,(1)  University of Virginia Health System,United States of America
56,Texas Health Resources Inc.,United States of America
57,Cincinnati Children's Hospital Medical Center,United States of America
60,Northwestern Medicine,United States of America
60,Ochsner Health System,United States of America
62,Mount Sinai Medical Center New York,United States of America
64,University of Utah Health Care,United States of America
69,Lahey Clinic,United States of America
71,Group Health Cooperative Health Care System Seattle,United States of America
72,Partners Healthcare System,United States of America
73,Carolinas Healthcare System,United States of America
74,Henry Ford Hospital,United States of America
75,UCLA University of California Los Angeles Health System CA,United States of America
80,Children's Healthcare of Atlanta Pediatric Hospital,United States of America
82,Inova Health System Northern Virginia,United States of America
84,Banner Health,United States of America
86,Peacehealth,United States of America
87,Intermountain Healthcare ID,United States of America
89,Mercy,United States of America
91,Indiana University Health Bloomington,United States of America
92,Hospital for Special Surgery,United States of America
96,Sanford Health (Union Hospital Mayville North Dakota),United States of America
98,Dana Farber Cancer Institute Boston MA,United States of America
102,Scott and White Memorial Hospital,United States of America
104,Allina Health,United States of America
108,MedStar Health,United States of America
112,Scripps Health System San Diego,United States of America
116,Cedars Sinai Medical Center,United States of America
118,Lifebridge Health,United States of America
121,Kennedy Krieger Institute,United States of America
123,City of Hope Duarte - California,United States of America
126,Georgia Regents Health System,United States of America
127,Edward Hospital & Health Services,United States of America
129,Fox Chase Cancer Center,United States of America
130,University Hospitals of Cleveland Ohio,United States of America
135,Memorial Hermann Northeast Hospital,United States of America
137,Froedtert Hospital and Medical College of Wisconsin,United States of America
140,Sutter Health Hospitals,United States of America
141,Dartmouth Hitchcock Medical Center Lebanon NH,United States of America
141,Childrens Hospital Los Angeles,United States of America
143,St Louis Children's Hospital,United States of America
146,BayHealth Medical Center,United States of America
149,William Beaumont Hospital,United States of America
150,University of Iowa Hospitals and Clinics,United States of America
151,Munson Healthcare (Mercy Hospital Cadillac),United States of America
154,Nemours Healthcare for Children,United States of America
157,Baylor Health Care System,United States of America
159,National Jewish Medical and Research Center,United States of America
161,Houston Methodist,United States of America
163,Gwinnett Medical Center Lawrenceville Georgia,United States of America
165,Emory Healthcare,United States of America
166,Baptist Health System San Antonio Texas,United States of America
167,(1)  Nebraska Medical Center,United States of America
168,Rex Healthcare,United States of America
173,Texas Heart Institute at St Luke's Episcopal Hospital,United States of America
174,University of Michigan Health System,United States of America
181,Nationwide Children's Hospital,United States of America
182,Edmond Medical Center,United States of America
185,University of Kentucky Healthcare Good Samaritan Hospital Lexington,United States of America
193,Long Island Jewish Medical Center,United States of America
195,Fairview Health Services,United States of America
197,Maine Medical Center,United States of America
199,Children's Hospital Denver,United States of America
203,University of California San Diego Medical Center,United States of America
204,Jane & Terry Semel Institute for Neuroscience & Human Behavior at UCLA,United States of America
205,Sharp Healthcare San Diego CA,United States of America
207,Boston Medical Center,United States of America
208,Children's Hospital of Wisconsin,United States of America
209,Palo Alto Medical Foundation,United States of America
211,Cancer Treatment Centers of America,United States of America
213,Metrohealth System,United States of America
214,Christiana Care Health System,United States of America
219,Virginia Mason Medical Center WA,United States of America
221,University of Washington Medicine,United States of America
233,California Pacific Medical Center,United States of America
234,University of Pennsylvania Health System,United States of America
234,Seton Healthcare Family,United States of America
236,Catholic Health Services Lauderdale Lakes FL,United States of America
238,Lurie Children's Hospital of Chicago (Children's Memorial Hospital),United States of America
240,Willis Knighton Health System,United States of America
242,Marshfield Clinic,United States of America
244,Temple University Children's Medical Center,United States of America
244,Resurrection Health Care,United States of America
244,(1)  Anne Arundel Medical Center,United States of America
247,SoutheastHEALTH,United States of America
248,NorthShore University HealthSystem,United States of America
249,Contra Costa Regional Medical Center,United States of America
253,St Elizabeth Medical Center & St Luke Hospitals Cincinnati,United States of America
255,St Luke's Idaho Health System,United States of America
257,Greater Baltimore Medical Center,United States of America
262,HealthPartners,United States of America
263,Legacy Health System Oregon,United States of America
264,Oroville Hospital,United States of America
266,Swedish Medical Center WA,United States of America
271,Children's National Medical Center Washington D.C,United States of America
273,Kaleida Health Facility,United States of America
278,Cook Children's Health Care,United States of America
283,Saint Luke's Health System,United States of America
284,(1)  Roper St Francis Healthcare,United States of America
291,Greenville Health System,United States of America
296,Roswell Park Cancer Institute (Western New York Neuro Oncology Center),United States of America
298,Baptist Health South Florida,United States of America
302,Seattle Cancer Care Alliance WA,United States of America
306,Winchester Hospital,United States of America
310,Texas Children's Hospital,United States of America
310,New York Eye and Ear Infirmary,United States of America
313,St John Health System Warren Michigan,United States of America
316,Fort Healthcare,United States of America
316,Penn State Milton S Hershey Medical Center,United States of America
320,Arthur G James Cancer Hospital and Richard J Solove Research Institute,United States of America
321,UnityPoint Health,United States of America
323,Rady Children's Hospital San Diego,United States of America
324,Phoebe Putney Memorial Hospital (Dorminy Medical Center),United States of America
329,Coxhealth,United States of America
330,Piedmont Healthcare,United States of America
331,Provena Health,United States of America
334,Norton Health Care,United States of America
339,Children's Medical Center of Dayton,United States of America
341,Hoag Hospital,United States of America
342,Children's Hospitals & Clinics of Minnesota,United States of America
345,Promedica Health System,United States of America
346,University of Colorado Health in Northern Colorado,United States of America
352,Centura Health,United States of America
354,Sentara Healthcare,United States of America
356,Spectrum Health,United States of America
359,Broward Health,United States of America
360,Saint Joseph Mercy Health System,United States of America
360,Yale New Haven Hospital,United States of America
362,St.Vincent Dunn Memorial Hospital,United States of America
364,Adventist Midwest Health,United States of America
367,Catholic Healthcare West,United States of America
