Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,ABW,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392.178253,1506.72015,1460.073541,1857.622689,1424.631803,1330.411302,1293.948961,1485.790128,1891.384128,2193.360689,2355.66024,2631.377069,3011.773219,3104.634409,2761.57818,2957.731921,3053.14144,3056.724836,,
Afghanistan,AFG,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24061923,17.87540006,19.35565496,20.989302,22.69229439,29.98337922,34.67941476,34.88277714,43.28317783,48.19892612,51.45602206,,
Angola,AGO,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.32175932,18.05827693,27.37972583,23.08175785,18.71695646,22.23033354,36.16068818,33.4846162,44.62189227,63.38665425,70.95813702,110.8641272,115.456088,176.7233769,174.3292481,143.7824899,177.6002269,190.4623226,,
Albania,ALB,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.73045497,39.95573084,33.53823571,43.61184047,60.21846839,69.93008283,74.79027464,88.52563719,108.3763578,147.945965,160.2925496,168.3282877,217.5941123,251.3793143,229.9902366,206.6219318,242.9188906,227.5108541,,
Arab World,ARB,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.25477941,85.6083312,90.64368059,91.88773685,99.66180697,106.4734459,109.701078,110.493067,115.4841319,127.6165817,140.2783932,161.1136585,187.0819321,220.3509612,234.9509494,245.3238003,268.8621386,300.0178013,,
United Arab Emirates,ARE,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.9431078,731.2627993,750.7649941,720.5852478,722.0457528,751.676309,814.9195,916.9391318,967.5831362,994.9769722,1029.825431,1108.608162,1183.634192,1352.734273,1336.042407,1283.360035,1375.109595,1342.871579,,
Argentina,ARG,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.8027705,619.5361821,686.4307708,707.0404882,726.7585488,709.8622973,676.2286711,225.4645773,280.420366,327.2996672,394.8376814,453.7044408,547.9922615,685.8287798,725.7401823,750.8801848,866.2842204,995.1770647,,
Armenia,ARM,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.62251828,29.14078965,30.12183006,34.98809943,33.89211786,38.86067678,41.12527274,42.11727731,51.44331343,65.02925537,85.36823515,97.32702654,132.6755304,148.8094478,132.4310577,142.560562,127.0636474,150.3254945,,
American Samoa,ASM,Health expenditure per capita (current US$),SH.XPD.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
